,PHI,TETA,PSI,X_ECI,Y_ECI,Z_ECI,latitude,longitude,Data,x,y,z,N1_X,N1_Y,N1_Z,N2_X,N2_Y,N2_Z,N3_X,N3_Y,N3_Z,N4_X,N4_Y,N4_Z,N5_X,N5_Y,N5_Z,N6_X,N6_Y,N6_Z,Terra_X,Terra_Y,Terra_Z,r,fim
397,-1.5010819945738494e-14,1.1082840710825772,2.265032314162808,,,,,,2022-05-10 19:06:20,,,,-0.6397984499565568,0.34292209264083684,0.6877953051686357,-0.7685427401473437,-0.28547667145407024,-0.5725776162428264,0.6397984499565568,-0.34292209264083684,-0.6877953051686357,0.7685427401473437,0.28547667145407024,0.5725776162428264,1.343369853891449e-14,0.8949343598467623,-0.4461978166303213,-1.343369853891449e-14,-0.8949343598467623,0.4461978166303213,3827.823570027605,5039.432875002966,688.8976265350899,,1
398,-1.5072848127237178e-14,1.108284071072362,2.27861675515392,,,,,,2022-05-10 19:06:30,,,,-0.6501793200135637,0.33901253049579233,0.6799539366703743,-0.75978079195693,-0.29010859301417385,-0.5818678135389829,0.6501793200135637,-0.33901253049579233,-0.6799539366703743,0.75978079195693,0.29010859301417385,0.5818678135389829,1.3489209689747771e-14,0.8949343598422043,-0.44619781663946323,-1.3489209689747771e-14,-0.8949343598422043,0.44619781663946323,3503.6330523615156,5277.730715340556,633.082734299671,,1
399,-1.5010819945548723e-14,1.1082840710621464,2.292201196145032,,,,,,2022-05-10 19:06:40,,,,-0.6604402097503952,0.3350404089447418,0.6719870934169749,-0.7508786382264807,-0.29468697961756435,-0.591050636324015,0.6604402097503952,-0.3350404089447418,-0.6719870934169749,0.7508786382264807,0.29468697961756435,0.591050636324015,1.3433698538607814e-14,0.894934359837646,-0.4461978166486055,-1.3433698538607814e-14,-0.894934359837646,0.4461978166486055,3428.3903679110267,5356.6739971202505,308.36191590050333,,1
400,-1.4762707219082697e-14,1.1082840710519322,2.3057856371361445,,,,,,2022-05-10 19:06:50,,,,-0.6705792256819797,0.3310064609799513,0.66389624556348,-0.7418379217078058,-0.29921098639533295,-0.600124390053075,0.6705792256819797,-0.3310064609799513,-0.66389624556348,0.7418379217078058,0.29921098639533295,0.600124390053075,1.3211653934513086e-14,0.8949343598330884,-0.44619781665774666,-1.3211653934513086e-14,-0.8949343598330884,0.44619781665774666,190.57814486254767,3120.0284520105233,5547.252141982798,,1
401,-1.470067903739699e-14,1.1082840710417168,2.3193700781272564,,,,,,2022-05-10 19:07:00,,,,-0.6805944968131311,0.3269114310027776,0.6556828861480198,-0.7326603107222889,-0.30367977851351025,-0.6090874003082846,0.6805944968131311,-0.3269114310027776,-0.6556828861480198,0.7326603107222889,0.30367977851351025,0.6090874003082846,1.3156142783377572e-14,0.8949343598285304,-0.44619781666688874,-1.3156142783377572e-14,-0.8949343598285304,0.44619781666688874,200.68850262536787,2549.675490014143,5829.371831106706,,1
402,-1.463865085571206e-14,1.1082840710315012,2.3329545191183683,,,,,,2022-05-10 19:07:10,,,,-0.6904841749838113,0.3227560746862952,0.6473485308162983,-0.7233474988530239,-0.3080925313271187,-0.617938013107725,0.6904841749838113,-0.3227560746862952,-0.6473485308162983,0.7233474988530239,0.3080925313271187,0.617938013107725,1.3100631632243314e-14,0.8949343598239722,-0.44619781667603103,-1.3100631632243314e-14,-0.8949343598239722,0.44619781667603103,391.2666474879156,2870.550318061845,5668.997362828472,,1
403,-1.4576622674027918e-14,1.108284071021286,2.3465389601094806,,,,,,2022-05-10 19:07:20,,,,-0.700246435210179,0.3185411588358514,0.6388947175419041,-0.7139012046322911,-0.312448430532349,-0.6266745952106527,0.700246435210179,-0.3185411588358514,-0.6388947175419041,0.7139012046322911,0.312448430532349,0.6266745952106527,1.3045120481110333e-14,0.8949343598194143,-0.44619781668517294,-1.3045120481110333e-14,-0.8949343598194143,0.44619781668517294,789.9389561037391,2913.852298150065,5604.298185764256,,1
404,-1.4514594492344568e-14,1.1082840710110715,2.3601234011005925,,,,,,2022-05-10 19:07:30,,,,-0.7098794760213598,0.31426746124756516,0.6303230063425019,-0.7043231712244312,-0.31674667231682635,-0.6352955344188855,0.7098794760213598,-0.31426746124756516,-0.6303230063425019,0.7043231712244312,0.31674667231682635,0.6352955344188855,1.2989609329978629e-14,0.8949343598148566,-0.44619781669431424,-1.2989609329978629e-14,-0.8949343598148566,0.44619781669431424,209.42435773549258,1896.5524374492961,6071.481110637419,,1
405,-1.4576622673843643e-14,1.1082840710008575,2.373707842091705,,,,,,2022-05-10 19:07:40,,,,-0.719381519791882,0.3099357705647963,0.6216349789919546,-0.6946151661041687,-0.3209864635079431,-0.6437992398743121,0.719381519791882,-0.3099357705647963,-0.6216349789919546,0.6946151661041687,0.3209864635079431,0.6437992398743121,1.304512048081255e-14,0.8949343598102991,-0.44619781670345515,-1.304512048081255e-14,-0.8949343598102991,0.44619781670345515,410.11286036086045,2254.5621774737547,5937.840973253314,,1
406,-1.4638650855341935e-14,1.1082840709906425,2.3872922830828167,,,,,,2022-05-10 19:07:50,,,,-0.728750813069707,0.305546886132615,0.6128322387284335,-0.6847789807304551,-0.325167021719225,-0.6521841423524556,0.728750813069707,-0.305546886132615,-0.6128322387284335,0.6847789807304551,0.325167021719225,0.6521841423524556,1.3100631631645202e-14,0.8949343598057412,-0.44619781671259684,-1.3100631631645202e-14,-0.8949343598057412,0.44619781671259684,828.9615758318456,2291.9712930957635,5878.737034363439,,1
407,-1.4700679036839442e-14,1.1082840709804278,2.400876724073929,,,,,,2022-05-10 19:08:00,,,,-0.7379856268998026,0.30110161785029216,0.6039164099585652,-0.6748164302158812,-0.3292875754947074,-0.6604486945520538,0.7379856268998026,-0.30110161785029216,-0.6039164099585652,0.6748164302158812,0.3292875754947074,0.6604486945520538,1.3156142782476584e-14,0.8949343598011834,-0.44619781672173836,-1.3156142782476584e-14,-0.8949343598011834,0.44619781672173836,1018.2095267121764,2630.3865857243727,5705.5687151526145,,1
408,-1.463865085515687e-14,1.1082840709702129,2.4144611650650414,,,,,,2022-05-10 19:08:10,,,,-0.7470842571431938,0.2966007860218486,0.5948891379576734,-0.6647293529917286,-0.3333473644512967,-0.6685913713805856,0.7470842571431938,-0.2966007860218486,-0.5948891379576734,0.6647293529917286,0.3333473644512967,0.6685913713805856,1.3100631631346136e-14,0.8949343597966255,-0.44619781673088005,-1.3100631631346136e-14,-0.8949343597966255,0.44619781673088005,1436.6817171226737,2655.039198494019,5602.710512294961,,1
409,-1.457662267347508e-14,1.1082840709599973,2.4280456060561533,,,,,,2022-05-10 19:08:20,,,,-0.756045024791434,0.2920452212046799,0.5857520885661694,-0.6545196104687162,-0.33734563941908624,-0.6766106702357034,0.756045024791434,-0.2920452212046799,-0.5857520885661694,0.6545196104687162,0.33734563941908624,0.6766106702357034,1.3045120480216954e-14,0.8949343597920674,-0.44619781674002235,-1.3045120480216954e-14,-0.8949343597920674,0.44619781674002235,215.92462973830789,1171.3659960125322,6250.581979041202,,1
410,-1.4328509947027483e-14,1.1082840709497819,2.4416300470472656,,,,,,2022-05-10 19:08:30,,,,-0.7648662762764412,0.2874357640562884,0.5765069478821468,-0.6441890866935039,-0.3412816625796039,-0.6845051112825168,0.7648662762764412,-0.2874357640562884,-0.5765069478821468,0.6441890866935039,0.3412816625796039,0.6845051112825168,1.2823075876151999e-14,0.8949343597875092,-0.4461978167491644,-1.2823075876151999e-14,-0.8949343597875092,0.4461978167491644,425.3489874738005,1557.7196067149282,6154.8899953895825,,1
411,-1.4266481765348446e-14,1.1082840709395685,2.4552144880383775,,,,,,2022-05-10 19:08:40,,,,-0.7735463837756359,0.2827732651791555,0.5671554219502408,-0.6337396880010251,-0.3451547076019632,-0.69227323772667,0.7735463837756359,-0.2827732651791555,-0.5671554219502408,0.6337396880010251,0.3451547076019632,0.69227323772667,1.2767564725027272e-14,0.8949343597829521,-0.4461978167583048,-1.2767564725027272e-14,-0.8949343597829521,0.4461978167583048,860.6420288110854,1585.5549255482983,6101.219078565261,,1
412,-1.4266481765258267e-14,1.1082840709293538,2.46879892902949,,,,,,2022-05-10 19:08:50,,,,-0.782083745512332,0.278058584963777,0.5576992364468002,-0.6231733426626992,-0.3489640597769024,-0.699913616083171,0.782083745512332,-0.278058584963777,-0.5576992364468002,0.6231733426626992,0.3489640597769024,0.699913616083171,1.2767564724881544e-14,0.8949343597783943,-0.44619781676744624,-1.2767564724881544e-14,-0.8949343597783943,0.44619781676744624,1063.5661145437628,1961.7968719046748,5958.706254923221,,1
413,-1.4266481765168084e-14,1.1082840709191384,2.482383370020602,,,,,,2022-05-10 19:09:00,,,,-0.7904767860513177,0.27329259342988876,0.5481401363614462,-0.6124920005306023,-0.3527090161486653,-0.7074248364409191,0.7904767860513177,-0.27329259342988876,-0.5481401363614462,0.6124920005306023,0.3527090161486653,0.7074248364409191,1.2767564724735808e-14,0.8949343597738362,-0.4461978167765884,-1.2767564724735808e-14,-0.8949343597738362,0.4461978167765884,1501.9156460231936,1981.883817073971,5856.274352878824,,1
