,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
24,52712.552440601605,0.0018271493192681097,0.09804961376929319,-8.032657016923192e-06,1.108244853748687,0.17415353642266734,0.8426436375519262,0.07069339418252035,0.5214437049997691,0.1142392520106796,0.0,0.0,0.0010780070154523262,6924.85776582305,681.1638707550801,0,6958.278472129572
25,52712.22317668903,0.0018134783001163774,0.10298745796233771,-9.024731773163079e-06,1.108241739078678,0.1801031565869617,0.8420156465446185,0.07350295352750143,0.5210550923728368,0.11877944931994419,0.0,0.0,0.0010780070154523262,6921.4236148055425,715.3507162380845,0,6958.292283513978
26,52711.88243855567,0.0017993415772178335,0.10805728805399306,-1.0093922929514127e-05,1.1082385158222825,0.18592071285647632,0.8413631929550114,0.07631037743466998,0.5206513418406508,0.12331619580015672,0.0,0.0,0.0010780070154523262,6917.7222745204535,750.4333657255102,0,6958.3066692831635
27,52711.53038816907,0.0017847475623023875,0.1132667782839243,-1.1242854382311297e-05,1.108235185506953,0.1915985280132619,0.8406862957388178,0.07911558434163166,0.5202324651333614,0.12784935964795693,0.0,0.0,0.0010780070154523262,6913.73391572374,786.4625176988884,0,6958.321633064542
28,52711.1671928683,0.0017697050486760251,0.11862395269078567,-1.24741122352021e-05,1.1082317497108916,0.19712857504631415,0.8399849745615318,0.08191849275037152,0.5197984744203462,0.13237880916402017,0.0,0.0,0.0010780070154523262,6909.436945801168,823.4909732355685,0,6958.337178593937
29,52710.79302528407,0.0017542232212104012,0.12413720939577963,-1.3790243570075938e-05,1.1082282100623075,0.2025024528682327,0.8392592497982221,0.0847190212296515,0.5193493823100805,0.13690441275693202,0.0,0.0,0.0010780070154523262,6904.807849304171,861.5737617724411,0,6958.353309712522
30,52710.40806325596,0.001738311667295965,0.12981534637221276,-1.519375523737512e-05,1.108224568238644,0.20771136054588535,0.8385091425329403,0.08751708841737614,0.5188852018497712,0.14142603894701136,0.0,0.0,0.0010780070154523262,6899.821012235208,900.7682712997492,0,6958.370030363637
31,52710.01248974737,0.0017219803888549065,0.1356675887894095,-1.668711266527856e-05,1.1082208259657838,0.21274606995671363,0.837734674558109,0.0903126130229564,0.5184059465249784,0.14594355637013018,0.0,0.0,0.0010780070154523262,6894.448528414961,941.1343827426772,0,6958.387344589525
32,52709.606492757885,0.0017052398155110806,0.14170361802174755,-1.8272738688324526e-05,1.1082169850172354,0.21759689677991823,0.8369358683738873,0.09310551382967147,0.517911630259223,0.15045683378153007,0.0,0.0,0.0010780070154523262,6888.659986090883,982.7346081760256,0,6958.405256528002
33,52709.19026523341,0.0016881008190284675,0.1479336024095876,-1.9953012394642604e-05,1.1082130472132932,0.22225366973575186,0.8361127471878806,0.09589570969706919,0.5174022674138072,0.1549657400597013,0.0,0.0,0.0010780070154523262,6882.422232763931,1025.6342323408196,0,6958.42377040897
34,52708.764004973404,0.0016705747291031752,0.15436822987447477,-2.1730267999241065e-05,1.1082090144201713,0.2267056979705385,0.8352653349133785,0.09868311956320275,0.5168778727867235,0.15947014420999764,0.0,0.0,0.0010780070154523262,6875.699115991956,1069.9014568671303,0,6958.442890550944
35,52708.3279145366,0.0016526733506931205,0.1610187424408348,-2.3606793730165572e-05,1.1082048885491236,0.2309417365352033,0.8343936561697475,0.10146766244710406,0.516338461612898,0.163969915368633,0.0,0.0,0.0010780070154523262,6868.451197758778,1115.6075460634352,0,6958.462621357369
